ST,TEMP,DO,EC,SAL,PH,POL,LOC
1,30.6,2.09,46.47,27.46,7.66,3,"5.461894,100.209128"
1,30.8,2.2,46.22,26.59,7.78,3,"5.461894,100.209128"
1,30.8,2.28,49.38,28.97,7.89,3,"5.461894,100.209128"
1,31,3.47,53.8,31.32,8.05,2,"5.461894,100.209128"
1,31,3.47,53.8,31.34,8.11,2,"5.461894,100.209128"
1,30.9,3.52,53.8,31.34,8.19,2,"5.461894,100.209128"
1,31,2.91,53.8,31.3,8.24,3,"5.461894,100.209128"
1,31,2.8,53.8,31.33,8.26,3,"5.461894,100.209128"
1,31,3.09,53.8,31.33,8.27,2,"5.461894,100.209128"
2,31.1,5.01,53.7,31.17,8.53,1,"5.466925,100.206189"
2,31.1,5.06,53.7,31.17,8.53,1,"5.466925,100.206189"
2,31.1,5.05,53.7,31.18,8.58,1,"5.466925,100.206189"
2,31,5.07,53.6,31.2,8.56,1,"5.466925,100.206189"
2,30.9,4.92,53.6,31.2,8.56,2,"5.466925,100.206189"
2,30.9,4.86,53.6,31.2,8.56,2,"5.466925,100.206189"
2,30.8,3.83,53.5,31.27,8.55,2,"5.466925,100.206189"
2,30.8,3.68,53.6,31.21,8.57,2,"5.466925,100.206189"
2,30.9,4.92,53.5,31.21,8.56,2,"5.466925,100.206189"
2,30.6,2.73,53.3,31.31,8.54,3,"5.466925,100.206189"
2,30.5,2.22,53.3,31.3,8.52,3,"5.466925,100.206189"
2,30.5,2.18,53.3,31.31,8.52,3,"5.466925,100.206189"
3,31.1,4.21,53.5,31.29,8.09,2,"5.482422,100.197283"
3,31.3,4.68,53.5,31.42,8.25,2,"5.482422,100.197283"
3,31.3,3.65,54.3,31.41,8.33,2,"5.482422,100.197283"
3,31.3,3.65,54,31.39,8.51,2,"5.482422,100.197283"
3,31,3.51,54,31.41,8.55,2,"5.482422,100.197283"
3,30.9,3.46,53.9,31.42,8.58,2,"5.482422,100.197283"
3,30.9,2.81,53.7,31.49,8.64,3,"5.482422,100.197283"
3,30.6,2.82,53.7,31.49,8.65,3,"5.482422,100.197283"
3,30.6,2.85,53.7,31.48,8.65,3,"5.482422,100.197283"
3,30.6,2.51,53.7,31.41,8.62,3,"5.482422,100.197283"
3,30.6,2.17,53.7,31.46,8.62,3,"5.482422,100.197283"
3,30.6,2.13,53.7,31.44,8.62,3,"5.482422,100.197283"
4,30.8,3.56,53.8,31.44,8.23,2,"5.491008,100.195036"
4,30.8,3.54,53.8,31.44,8.23,2,"5.491008,100.195036"
4,30.8,3.51,53.8,31.44,8.31,2,"5.491008,100.195036"
4,30.7,3.37,53.7,31.45,8.36,2,"5.491008,100.195036"
4,30.7,3.22,53.7,31.45,8.37,2,"5.491008,100.195036"
4,30.7,3.31,53.7,31.45,8.39,2,"5.491008,100.195036"
4,30.7,3.33,53.7,31.46,8.42,2,"5.491008,100.195036"
4,30.6,3.33,53.7,31.45,8.42,2,"5.491008,100.195036"
4,30.6,3.34,53.7,31.46,8.43,2,"5.491008,100.195036"
4,30.6,3.35,53.6,31.45,8.45,2,"5.491008,100.195036"
4,30.6,3.2,53.6,31.44,8.46,2,"5.491008,100.195036"
4,30.6,3.22,53.6,31.45,8.46,2,"5.491008,100.195036"
4,30.6,3.24,53.6,31.44,8.47,2,"5.491008,100.195036"
4,30.6,3.2,53.6,31.45,8.48,2,"5.491008,100.195036"
4,30.6,3.15,53.6,31.44,8.48,2,"5.491008,100.195036"
4,30.6,3.12,53.6,31.47,8.48,2,"5.491008,100.195036"
4,30.6,3.02,53.7,31.47,8.49,2,"5.491008,100.195036"
4,30.6,3.02,53.7,31.46,8.5,2,"5.491008,100.195036"
4,30.6,3.04,53.7,31.47,8.49,2,"5.491008,100.195036"
4,30.6,2.97,53.6,31.47,8.5,3,"5.491008,100.195036"
4,30.6,2.97,53.6,31.47,8.48,3,"5.491008,100.195036"
4,30.6,3,53.7,31.5,8.5,2,"5.491008,100.195036"
4,30.6,2.87,53.7,31.49,8.49,3,"5.491008,100.195036"
4,30.6,2.87,53.7,31.49,8.49,3,"5.491008,100.195036"
4,30.6,2.84,53.8,31.57,8.49,3,"5.491008,100.195036"
4,30.5,2.62,53.8,31.58,8.48,3,"5.491008,100.195036"
4,30.5,2.67,53.8,31.57,8.5,3,"5.491008,100.195036"
5,30.7,3.94,53.7,31.41,8.22,2,"5.506722,100.194008"
5,30.7,3.93,53.7,31.41,8.26,2,"5.506722,100.194008"
5,30.7,3.94,53.7,31.41,8.29,2,"5.506722,100.194008"
5,30.7,3.88,53.7,31.4,8.39,2,"5.506722,100.194008"
5,30.7,3.82,53.7,31.41,8.36,2,"5.506722,100.194008"
5,30.7,3.87,53.7,31.38,8.4,2,"5.506722,100.194008"
5,30.6,3.84,53.6,31.36,8.45,2,"5.506722,100.194008"
5,30.6,3.72,53.6,31.41,8.45,2,"5.506722,100.194008"
5,30.6,3.85,53.6,31.4,8.47,2,"5.506722,100.194008"
5,30.6,3.9,53.6,31.41,8.48,2,"5.506722,100.194008"
5,30.6,3.84,53.6,31.44,8.49,2,"5.506722,100.194008"
5,30.6,3.8,53.6,31.42,8.5,2,"5.506722,100.194008"
5,30.6,3.87,53.6,31.42,8.51,2,"5.506722,100.194008"
5,30.6,3.71,53.6,31.43,8.51,2,"5.506722,100.194008"
5,30.6,3.72,53.7,31.43,8.51,2,"5.506722,100.194008"
5,30.6,3.58,53.7,31.47,8.52,2,"5.506722,100.194008"
5,30.6,3.51,53.7,31.46,8.51,2,"5.506722,100.194008"
5,30.6,3.54,53.7,31.47,8.52,2,"5.506722,100.194008"
5,30.5,3.34,53.7,31.56,8.53,2,"5.506722,100.194008"
5,30.5,3.25,53.8,31.56,8.53,2,"5.506722,100.194008"
5,30.5,3.21,53.7,31.56,8.53,2,"5.506722,100.194008"
5,30.4,3.27,53.8,31.41,8.53,2,"5.506722,100.194008"
5,30.4,3.31,53.7,31.61,8.53,2,"5.506722,100.194008"
5,30.4,3.33,53.8,31.62,8.53,2,"5.506722,100.194008"
5,30.4,3.3,53.7,31.62,8.53,2,"5.506722,100.194008"
5,30.4,3.27,53.7,31.63,8.54,2,"5.506722,100.194008"
5,30.4,3.22,53.8,31.64,8.53,2,"5.506722,100.194008"
5,30.4,3.22,53.8,31.63,8.54,2,"5.506722,100.194008"
5,30.4,3.21,53.7,31.63,8.54,2,"5.506722,100.194008"
5,30.4,3.17,53.8,31.64,8.55,2,"5.506722,100.194008"
6,30.6,4.7,53.5,31.34,8.26,2,"5.511678,100.188361"
6,30.5,4.65,53.4,31.35,8.32,2,"5.511678,100.188361"
6,30.6,4.62,53.5,31.4,8.28,2,"5.511678,100.188361"
6,30.6,4.55,53.5,31.34,8.42,2,"5.511678,100.188361"
6,30.6,4.54,53.5,31.35,8.42,2,"5.511678,100.188361"
6,30.6,4.55,53.5,31.36,8.43,2,"5.511678,100.188361"
6,30.5,4.55,53.5,31.42,8.6,2,"5.511678,100.188361"
6,30.4,4.53,53.5,31.49,8.61,2,"5.511678,100.188361"
6,30.5,4.54,53.5,31.44,8.61,2,"5.511678,100.188361"
6,30.5,4.58,53.5,31.38,8.62,2,"5.511678,100.188361"
6,30.5,4.45,53.5,31.37,8.61,2,"5.511678,100.188361"
6,30.6,4.43,53.5,31.38,8.64,2,"5.511678,100.188361"
6,30.6,4.45,53.6,31.38,8.62,2,"5.511678,100.188361"
6,30.6,4.48,53.5,31.37,8.63,2,"5.511678,100.188361"
6,30.6,4.45,53.5,31.37,8.64,2,"5.511678,100.188361"
6,30.6,4.27,53.5,31.39,8.67,2,"5.511678,100.188361"
6,30.6,4.21,53.5,31.39,8.66,2,"5.511678,100.188361"
6,30.6,4.2,53.5,31.38,8.67,2,"5.511678,100.188361"
6,30.6,3.88,53.6,31.45,8.69,2,"5.511678,100.188361"
6,30.6,4.03,53.6,31.44,8.7,2,"5.511678,100.188361"
6,30.6,4.03,53.6,31.43,8.71,2,"5.511678,100.188361"
6,30.6,3.88,53.7,31.48,8.69,2,"5.511678,100.188361"
6,30.6,3.78,53.7,31.48,8.69,2,"5.511678,100.188361"
6,30.6,3.83,53.7,31.48,8.7,2,"5.511678,100.188361"
6,30.6,3.33,53.7,31.6,8.69,2,"5.511678,100.188361"
6,30.5,3.22,53.8,31.56,8.7,2,"5.511678,100.188361"
6,30.6,3.48,53.7,31.48,8.74,2,"5.511678,100.188361"
6,30.5,3.48,53.8,31.61,8.77,2,"5.511678,100.188361"
6,30.5,3.48,53.8,31.61,8.77,2,"5.511678,100.188361"
6,30.5,3.48,53.8,31.58,8.75,2,"5.511678,100.188361"
1,30.2,5.94,48.39,27.87,8.28,1,"5.461894,100.209128"
1,30.2,5.91,49.44,28.36,8.26,1,"5.461894,100.209128"
1,30.3,5.75,49.37,28.87,8.25,1,"5.461894,100.209128"
1,30.3,5.43,50.9,29.85,8.22,1,"5.461894,100.209128"
1,30.3,5.5,50.9,29.81,8.2,1,"5.461894,100.209128"
1,30.3,3.43,51,29.85,8.16,2,"5.461894,100.209128"
